"code_sous-categorie","pourcentage_OMR","IC_pourcentage_OMR","pourcentage_CSM","IC_pourcentage_CSM","pourcentage_CSB","IC_pourcentage_CSB","tonnage_OMR","IC_tonnage_OMR","tonnage_CSM","IC_tonnage_CSM","tonnage_CSB","IC_tonnage_CSB","ratio_OMR","IC_ratio_OMR","ratio_CSM","IC_ratio_CSM","ratio_CSB","IC_ratio_CSB"
"01.01","19,5%","1,80%","0,9%","0,63%","61,1%","10,32%",2873916,266192,31166,21868,136221,23007,43.54,4.03,"0,47","0,33","2,08","0,35"
"01.02","4,9%","0,97%","0,2%","0,08%","10,7%","3,64%",717838,143072,6090,2760,23926,8112,10.88,2.17,"0,09","0,04","0,36","0,12"
"01.03","3,8%","0,52%","1,1%","0,48%","0,6%","0,45%",566819,76167,39987,16580,1401,1004,8.59,1.15,"0,61","0,25","0,02","0,02"
"01.04","0,4%","0,18%","0,0%","0,00%","1,0%","0,50%",61807,25866,114,154,2142,1109,0.94,0.39,"0,00","0,00","0,03","0,02"
"01.05","3,2%","0,99%","0,1%","0,05%","11,7%","11,96%",477767,146645,2911,1918,25987,26671,7.24,2.22,"0,04","0,03","0,40","0,40"
"01.06","1,8%","0,68%","0,1%","0,07%","1,5%","2,06%",268171,99737,2555,2421,3254,4587,4.06,1.51,"0,04","0,04","0,05","0,07"
"02.01","1,7%","0,29%","3,0%","0,68%","2,3%","1,00%",250784,43030,106073,23703,5176,2226,3.8,0.65,"1,61","0,36","0,08","0,03"
"02.02","3,1%","0,54%","20,5%","2,61%","0,3%","0,21%",452203,80201,713604,90914,645,473,6.85,1.21,"10,80","1,38","0,01","0,01"
"02.03","1,0%","0,32%","2,6%","0,95%","1,1%","1,45%",151494,47448,92324,33237,2443,3243,2.3,0.72,"1,40","0,50","0,04","0,05"
"03.01","3,9%","0,42%","11,8%","1,18%","0,4%","0,33%",581627,61440,411072,41015,847,730,8.81,0.93,"6,22","0,62","0,01","0,01"
"03.02","2,3%","0,64%","21,1%","2,67%","0,0%","0,02%",337191,94642,735800,93242,17,34,5.11,1.43,"11,14","1,41","0,00","0,00"
"03.03","0,0%","0,01%","0,0%","0,01%","0,0%","0,00%",3024,2106,698,514,0,0,0.05,0.03,"0,01","0,01","-","-"
"03.04","0,4%","0,13%","0,7%","0,24%","0,1%","0,13%",52127,18800,24503,8372,161,288,0.79,0.28,"0,37","0,13","0,00","0,00"
"04.01","0,5%","0,14%","1,2%","0,20%","0,0%","0,00%",78114,20464,41197,7077,7,8,1.18,0.31,"0,62","0,11","0,00","0,00"
"04.02","0,4%","0,13%","0,6%","0,20%","0,1%","0,07%",64087,19540,21183,6933,118,163,0.97,0.3,"0,32","0,11","0,00","0,00"
"04.03","0,9%","0,17%","0,9%","0,27%","0,1%","0,05%",131937,24681,30834,9484,115,117,2,0.37,"0,47","0,14","0,00","0,00"
"04.04","0,0%","0,02%","0,0%","0,01%","0,0%","0,00%",2495,2545,467,519,0,0,0.04,0.04,"0,01","0,01","-","-"
"04.05","0,1%","0,07%","0,0%","0,04%","0,0%","0,00%",17750,10650,1547,1291,1,2,0.27,0.16,"0,02","0,02","0,00","0,00"
"05.01","0,3%","0,16%","0,1%","0,09%","0,0%","0,00%",51298,22984,3317,3178,0,0,0.78,0.35,"0,05","0,05","-","-"
"05.02","3,0%","0,52%","0,7%","0,21%","0,0%","0,01%",443844,76256,23930,7459,16,31,6.72,1.16,"0,36","0,11","0,00","0,00"
"05.03","0,5%","0,22%","0,1%","0,08%","0,0%","0,01%",79126,32292,3945,2808,8,15,1.2,0.49,"0,06","0,04","0,00","0,00"
"05.04","0,5%","0,13%","0,6%","0,60%","0,0%","0,00%",76452,18447,21457,20908,0,0,1.16,0.28,"0,32","0,32","-","-"
"05.05","0,2%","0,06%","0,1%","0,07%","0,0%","0,00%",29637,8338,4064,2434,5,9,0.45,0.13,"0,06","0,04","0,00","0,00"
"05.06","0,0%","0,01%","0,0%","0,01%","0,0%","0,00%",1929,1489,174,239,0,0,0.03,0.02,"0,00","0,00","-","-"
"05.07","0,2%","0,08%","0,2%","0,12%","0,0%","0,01%",36149,12196,6039,4121,13,19,0.55,0.18,"0,09","0,06","0,00","0,00"
"06.01","5,8%","1,12%","0,3%","0,13%","0,2%","0,33%",859734,164758,9258,4606,437,745,13.03,2.5,"0,14","0,07","0,01","0,01"
"06.02","2,6%","0,67%","0,3%","0,16%","0,1%","0,10%",380662,98219,8922,5722,221,233,5.77,1.49,"0,14","0,09","0,00","0,00"
"06.03","8,6%","0,80%","1,5%","0,45%","4,8%","2,12%",1265338,117656,50848,15741,10668,4718,19.17,1.78,"0,77","0,24","0,16","0,07"
"07.01","3,4%","0,35%","0,5%","0,18%","2,3%","1,04%",496503,51719,18462,6121,5049,2329,7.52,0.78,"0,28","0,09","0,08","0,04"
"07.02","1,1%","0,31%","0,6%","0,17%","0,7%","0,76%",165000,46301,19574,6087,1583,1691,2.5,0.7,"0,30","0,09","0,02","0,03"
"07.03","4,2%","0,67%","3,9%","0,81%","0,3%","0,16%",619942,99068,135773,28270,632,347,9.39,1.5,"2,05","0,43","0,01","0,01"
"07.04","1,1%","0,20%","5,0%","0,59%","0,0%","0,02%",160966,29153,174077,20476,36,36,2.44,0.44,"2,63","0,31","0,00","0,00"
"07.05","0,3%","0,13%","0,8%","0,19%","0,0%","0,00%",51533,19020,28408,6763,3,6,0.78,0.29,"0,43","0,10","0,00","0,00"
"07.06","0,2%","0,05%","0,8%","0,12%","0,0%","0,00%",23899,6704,26843,4297,5,8,0.36,0.1,"0,41","0,07","0,00","0,00"
"07.07","0,3%","0,08%","1,6%","0,30%","0,0%","0,01%",44178,11698,54959,10443,15,21,0.67,0.18,"0,83","0,16","0,00","0,00"
"07.08","3,0%","0,30%","3,9%","0,53%","0,1%","0,07%",443885,44509,135705,18388,232,159,6.73,0.67,"2,05","0,28","0,00","0,00"
"07.09","0,0%","0,03%","0,1%","0,15%","0,0%","0,00%",5461,4384,2867,5354,1,2,0.08,0.07,"0,04","0,08","0,00","0,00"
"07.10","0,3%","0,32%","0,2%","0,07%","0,0%","0,01%",40401,47340,8087,2558,23,26,0.61,0.72,"0,12","0,04","0,00","0,00"
"07.11","0,3%","0,10%","0,3%","0,20%","0,0%","0,01%",40123,15086,11921,6870,16,15,0.61,0.23,"0,18","0,10","0,00","0,00"
"07.12","0,1%","0,05%","0,1%","0,09%","0,0%","0,00%",14665,6983,4621,3234,0,0,0.22,0.11,"0,07","0,05","-","-"
"07.13","0,0%","0,03%","0,0%","0,02%","0,0%","0,00%",5254,4928,498,594,0,0,0.08,0.07,"0,01","0,01","-","-"
"07.14","1,5%","0,22%","2,0%","0,37%","0,0%","0,01%",217448,32113,69292,12920,33,29,3.29,0.49,"1,05","0,20","0,00","0,00"
"08.01","0,3%","0,07%","0,3%","0,10%","0,0%","0,02%",40628,10979,10223,3563,36,34,0.62,0.17,"0,15","0,05","0,00","0,00"
"08.02","0,0%","0,01%","0,0%","0,02%","0,0%","0,01%",1186,1493,360,706,8,12,0.02,0.02,"0,01","0,01","0,00","0,00"
"08.03","0,0%","0,01%","0,0%","0,04%","0,0%","0,01%",1531,1269,941,1528,8,12,0.02,0.02,"0,01","0,02","0,00","0,00"
"08.04","0,7%","0,18%","0,5%","0,28%","0,0%","0,04%",98572,26467,16944,9718,104,96,1.49,0.4,"0,26","0,15","0,00","0,00"
"09.01","4,7%","0,66%","1,8%","0,69%","0,3%","0,48%",699571,97068,64112,24241,769,1061,10.6,1.47,"0,97","0,37","0,01","0,02"
"09.02","0,3%","0,12%","0,1%","0,07%","0,0%","0,00%",39642,17356,2104,2300,4,7,0.6,0.26,"0,03","0,03","0,00","0,00"
"10.01","0,1%","0,11%","0,3%","0,25%","0,0%","0,00%",17735,15630,10260,8582,0,0,0.27,0.24,"0,16","0,13","-","-"
"10.02","1,2%","0,22%","2,7%","0,66%","0,0%","0,03%",178647,32411,93375,23022,46,65,2.71,0.49,"1,41","0,35","0,00","0,00"
"10.03","0,6%","0,12%","0,5%","0,11%","0,0%","0,01%",82936,18047,18867,3717,16,18,1.26,0.27,"0,29","0,06","0,00","0,00"
"10.04","0,6%","0,14%","0,8%","0,27%","0,1%","0,14%",92317,20409,26613,9328,215,302,1.4,0.31,"0,40","0,14","0,00","0,00"
"10.05","0,5%","0,13%","0,4%","0,19%","0,0%","0,01%",75637,19513,15046,6598,19,24,1.15,0.3,"0,23","0,10","0,00","0,00"
"10.06","0,3%","0,11%","0,1%","0,06%","0,0%","0,00%",40981,16888,3349,2109,3,5,0.62,0.26,"0,05","0,03","0,00","0,00"
"10.07","0,0%","0,01%","0,0%","0,00%","0,0%","0,00%",813,1135,0,0,0,0,0.01,0.02,"-","-","-","-"
"10.08","0,0%","0,03%","0,0%","0,05%","0,0%","0,00%",4004,4582,824,1616,0,0,0.06,0.07,"0,01","0,02","-","-"
"11.01","1,5%","0,35%","0,9%","0,37%","0,1%","0,05%",227604,51320,31385,13062,158,109,3.45,0.78,"0,48","0,20","0,00","0,00"
"12.01","0,1%","0,09%","0,0%","0,00%","0,0%","0,00%",17806,12879,0,0,0,0,0.27,0.2,"-","-","-","-"
"12.02","2,1%","0,47%","0,7%","0,97%","0,1%","0,10%",303036,69546,26100,33971,115,212,4.59,1.05,"0,40","0,51","0,00","0,00"
"13.01","0,7%","0,16%","0,5%","0,17%","0,0%","0,01%",97698,23904,15982,6075,23,32,1.48,0.36,"0,24","0,09","0,00","0,00"
"13.02","0,0%","0,01%","0,0%","0,00%","0,0%","0,00%",792,1184,79,124,2,3,0.01,0.02,"0,00","0,00","0,00","0,00"
"13.03","0,0%","0,03%","0,0%","0,02%","0,0%","0,00%",5178,3691,352,547,2,3,0.08,0.06,"0,01","0,01","0,00","0,00"
"13.04","0,0%","0,02%","0,0%","0,04%","0,0%","0,00%",3790,2389,777,1272,2,3,0.06,0.04,"0,01","0,02","0,00","0,00"
"13.05","0,1%","0,06%","0,0%","0,03%","0,0%","0,00%",17548,8379,1355,1203,2,3,0.27,0.13,"0,02","0,02","0,00","0,00"
"13.06","0,0%","0,02%","0,0%","0,00%","0,0%","0,00%",2874,3416,0,0,2,3,0.04,0.05,"-","-","0,00","0,00"
"13.07","0,0%","0,02%","0,0%","0,02%","0,0%","0,00%",1879,2687,334,654,2,3,0.03,0.04,"0,01","0,01","0,00","0,00"
"13.08","0,1%","0,06%","0,0%","0,02%","0,0%","0,00%",9693,9153,269,527,2,3,0.15,0.14,"0,00","0,01","0,00","0,00"
"13.09","0,2%","0,10%","0,2%","0,13%","0,0%","0,00%",23530,14799,6161,4681,2,3,0.36,0.22,"0,09","0,07","0,00","0,00"
"13.10","0,2%","0,11%","0,0%","0,03%","0,0%","0,01%",23807,15555,1089,1121,7,12,0.36,0.24,"0,02","0,02","0,00","0,00"
"14.01",,,"0,8%","0,17%",,,,,28336,5843,,,,,"0,43","0,09","-",
"14.02",,,"0,8%","0,18%",,,,,28270,6437,,,,,"0,43","0,10","-",
